Nombre,Citas,Correo,Afiliación,Temas de Interés
DANIEL ALEJANDRO PISU A ANDRANGO,539135,espe.edu.ec,,
Xavier Pacheco Macias,198072,unemi.edu.ec,Estudiante,empresas
BRYAN ALFONSO ASUNCION AROCA,192748,unemi.edu.ec,Universidad estatal de milagro,procesos seguridad salud ocupacional
Yatzari Campoverde,168512,utm.edu.ec,Universidad Técnica de Manabi,Medicina
Jacquelin Araujo Saavedra,148838,utelvt.edu.ec,Estudiante de la pedagogía de la lengua y literatura,pedagogía de la lengua y literatura
PATRICIO LOPEZ -JARAMILLO,139251,ute.edu.ec,"Scientific Director Masira Research Institute, UDES,Bucaramanga,Colombia,Vist Prof, UTE …",enfermedades cardiometabolicas
GISEL LILIANA RONQUILLO PILAY,104665,unemi.edu.ec,Universidad Estatal De Milagro,
Fabian,89719,utc.edu.ec,"Profesor de Inglés, Universidad Técnica de Cotopaxi","historia, estadistica, politica"
MATHIAS ANDRES MONTALVO WONG,65164,alumnoipac.edu.ec,,
Elsa Alexandra Cepeda Asto,53838,ueb.edu.ec,MINISTERIO DE INCLUCION ECONOMICA Y SOCIAL ECUADOR,DIDACTICA  Y EDAGGIA EN EDUCACION …
MIGUEL ANGEL ZUÑIGA SANCHEZ,52290,utb.edu.ec,Universidad Técnica de Babahoyo,"Informatica, Sistemas"
luis enqueri,47119,unemi.edu.ec,universidad estatal de milagro,investigacion
Carolina Isamar Vasquez Paltin,45026,unl.edu.ec,Estudiante,"Metodología, Edafología, Química Inorgánica, Física, Fisiología Vegetal"
Javier Garcia,44571,espol.edu.ec,Estudiante de Maestria,Investigación
José  Gustavo Almeida,43958,uti.edu.ec,"Profesor Ing. Industrial "" UNIVERSIDAD TECNOLÓGICA INDOAMÉRICA","Diseño de prototipos, Prototipaje  Gestión del Conocimiento, Gestión de activo. TPM, Productividad."
Mayerli Andrea Mendoza Saltos,40142,utm.edu.ec,Universidad Técnica de Manabí,"Investigación, Artículos, Administración"
venus aparicio,39946,cahgye.edu.ec,Docente de Educación Física,Entrenamiento Deportivo
Armando Augusto Jaramillo Salinas,33117,utelvt.edu.ec,Universidad Técnica Luis Vargas Torres,"Química, Química Analítica, Biología"
Samantha Benalcazar,33071,estudiantes.uhemisferios.edu.ec,Estudiante Universidad Hemisferios,Psicología y pedagogía
Gustavo Xavier Alvaro Silva,31242,uleam.edu.ec,Universidad Laica Eloy Alfaro de Manabí,"Marketing, Economía, Planificación, Turismo"
CHRISTIAN EMANUEL PALMA ESPINOZA,29730,unemi.edu.ec,,
Fernando Manuel Guerrero,28709,tecnologicopichincha.edu.ec,"Estadística, Instituto Tecnológico Superior Honorable Consejo Provincial de Pichincha",Educación
Erick Santiago Vera Espinosa,28413,uce.edu.ec,Estudiante de Licenciatura en Pedagogía Actividad Física y Deporte,ENTRENAMIENTO DEPORTIVO
DAFNE CAMILA LOPEZ PLUAS,27094,unemi.edu.ec,Unemi,Educación  Inicial
Catherine Walsh,24609,uasb.edu.ec,"Retired professor, Universidad Andina Simón Bolívar","decolonial pedagogy and thought, social-political struggle, interculturality, gender otherwise"
David A. Neill,22550,uea.edu.ec,Universidad Estatal Amazónica,"plant systematics, Amazon forests, flora of Ecuador, conservation biology, neotropical dendrology"
Darwin Mauricio Silva Lopez,22283,itsqmet.edu.ec,Instituto Superior Universitario Quito Metropolitano,Redes y telecomunicaciones
ANTHONY SANCHEZ,20634,pucese.edu.ec,Universidad PUCESE,Seguridad informatica
Gabriel Moreno,19938,uta.edu.ec,"Profesor de Química, Universidad Tecnica de Ambato","Quimica, quimica orgánica, biomateriales, polímeros y biopolimeros, petroquímica"
Harrison Castro,19215,ug.edu.ec,Universidad de Guayaquil,relatividad general
OSCAR DEL BRUTTO,18278,uees.edu.ec,Universidad Espiritu Santo - Ecuador,"Neurología, Neuroepidemiología"
Alejandro  Martinez,17487,semisud.edu.ec,estudiante,"Derechos Humanos, Musica, Diversidad Sexual y Historia"
Renato Valencia,17155,puce.edu.ec,"Pontificia Universidad Católica del Ecuador, Professor of Botany and Plant Ecology","Tropical forest dynamics and species diversity, conservation of plants and carbon dynamics …"
Ladie Christina Nieves Boya,17089,utelvt.edu.ec,"estudiante de la carrera educación básica de la  universidad Técnica ""Luis Vargas Torres""","educación, psicologia, pedagogia, curriculo, modelos curriculares"
Juan Moreno,16957,unach.edu.ec,Estudiante de la Universidad Nacional de Chimborazo,Medicina y Fisioterapia
J. DAVID GC,15635,unl.edu.ec,"Estudiante de AgronomÍa, Universidad Nacional de Loja","Microbiología, Genética, Física, Astrología, Agronomía"
Victoria Abigail Garcia Cordero,15580,sangregorio.edu.ec,Universidad San Gregorio de Portoviejo,odontologia
CRISTOPHER DAVID RAMOS SINCHE,15568,unemi.edu.ec,,
