Nombre,Citas,Correo,Afiliación,Temas de Interés
Andy Alarcon,1113,est.itsgg.edu.ec,"trabajador, Iasa Caterpillar",operador
Paul F. Vanegas Peña,1112,ucuenca.edu.ec,"Research Assistant, University of Leuven, KU Leuven / Universidad de Cuenca (Ucuenca)","WEEE, Recycling, End of Life, eWaste, Optimization"
Verónica Crespo-Pérez,1110,puce.edu.ec,Pontificia Universidad Católica del Ecuador,"Ecologia, ecología de insectos, ecología funcional, ecologia de rios, ecología de plagas y especies invasivas"
Flor Yelena Vega Jaramillo,1108,utmachala.edu.ec,Universidad Técnica de Machala,"Economía ambiental, Desarrollo Sostenible, Políticas Públicas, Finanzas."
Miguel Angel Vargas Bustamante,1108,ug.edu.ec,Universidad de Guayaquil,investigación
Richar Rodriguez-Hidalgo,1103,uce.edu.ec,Zoonoses Research Institute-CIZ,"Epidemiology, Veterinary"
Sofia Zaragocin,1099,usfq.edu.ec,Universidad San Francisco de Quito,"Feminist Geography, Decolonial feminism, Interculturality"
Haci Baykara,1099,espol.edu.ec,ESPOL Polytechnic University,"Biopolymers, Theoretical Calculations, Polymer Composites, Geopolymer Composites, Life Cycle Assessment"
Vanessa Echeverria,1098,espol.edu.ec,Monash University and Escuela Superior Politécnica del Litoral (ROR 04qenc566),"Artificial Intelligence, collaborative Learning, learning analytics, Human-Centred AI"
Marco E. Benalcázar,1098,epn.edu.ec,Escuela Politécnica Nacional,"General artificial intelligence, machine learning, deep reinforcement learning, computer vision, hand gesture recognition"
Rene Parra,1098,usfq.edu.ec,Universidad San Francisco de Quito,Emission inventories. Air pollution modeling …
Carlos Márquez de la Plata M.,1097,uteq.edu.ec,Universidad técnica Estatal de Quevedo,Investigación de operaciones
Jose Eduardo Villacis,1094,puce.edu.ec,Pontificia Universidad Católica del Ecuador,Antimicrobial resistance
"Miguel Aldás, Miguel Aldas",1094,epn.edu.ec,"Escuela Politécnica Nacional, Quito, Ecuador","Materiales, Polímeros, Reciclaje, Ingeniería Química, Procesos."
Miguel Meneses,1093,utpl.edu.ec,UTPL,Fluidos supercríticos
"PhD, Javier Collado Ruano",1092,unae.edu.ec,Titular Professor in the National University of Education (UNAE) in Ecuador,"Transdisciplinary Education, Biomimicry, Big History, Regenerative Philosophy"
Iván Rodrigo-Mendizábal,1088,uasb.edu.ec,Universidad Andina Simón Bolívar,"Comunicación, Cine, Semiótica, Nuevas tecnologías, Estudios literarios"
Anders Sirén,1087,uaw.edu.ec,"Universidad Amawtay Wasi, Ecuador",
ROSA ANAHI DOMINGUEZ DOMINGUEZ,1087,unesum.edu.ec,universidad estatal del sur de manabi,salud
Oswaldo Jadán Maza,1085,ucuenca.edu.ec,"Universidad de Cuenca, Universidad Rey Juan Carlos.","Ecology, Botany, Ecosystem services"
Xavier Zapata-Ríos,1084,epn.edu.ec,"Departamento de Ingeniería Civil y Ambiental. Escuela Politécnica Nacional. Quito, Ecuador …","Hidrología, Hidrogeología"
Enid Molina,1084,uide.edu.ec,profesora,educación
Sara Alvarez Solas,1083,ikiam.edu.ec,Universidad Regional Amazónica Ikiam,"Biología, zoología, ciencias naturales, comportamiento animal, ecología"
Luis Guaman,1080,utpl.edu.ec,Universidad Técnica Particular de LOja,"Biología, Genética"
RONALD JAVIER MACIAS ORELLANA,1073,unemi.edu.ec,,
Jon Molinero,1072,pucese.edu.ec,PUCESE,ecología fluvial
Diego Francisco Carrión Galarza (ORCID: 0000-0002-0704-700X),1072,ups.edu.ec,Professor of Electrical Engineering - Universidad Politécnica Salesiana Ecuador - GIREI,"Optimal Power Flow, Transmission Lines, Electrical Power Systems, Smart Grid, Renewables Energies"
Augusto Barrera,1071,puce.edu.ec,Profesor Políticas urbanas,"Políticas públicas, desarrollo urbano"
J. Rafael Bermúdez,1068,espol.edu.ec,"Researcher, Biological Oceanography, Escuela Superior Politécnica del Litoral","Marine food webs, fatty acids, marine genomics, plankton ecology"
Brayan Tillaguango,1065,unl.edu.ec,Universidad Católica del Norte,Economía
Ángel Benítez,1062,utpl.edu.ec,"Docente investigador, Universidad Técnica Particular de Loja","Taxonomía, ecología, bioindicadores, comunidades no vasculares, conservación."
Joan Manuel Rodriguez Diaz,1062,utm.edu.ec,Faculty of Engineering and Applied Sciences,"Environmental sciences, Nanohybrids, Adsorbents, Advanced Oxidative Processes, Membrane"
Carlos Arroyo (ORCID:0000-0002-1793-5799),1061,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE,"Nanotechnology, Molecular electronics"
Marco Javier Flores Calero,1059,espe.edu.ec,Tecnologías I&H and ESPE,"Machine Learning (Deep Learning), ADAS, SIT, VC"
Patricio Andino Guarderas,1059,puce.edu.ec,Pontificia Universidad Católica del Ecuador,Limnología Ecología Conservación
Andres F. Torres,1056,usfq.edu.ec,Universidad San Francisco de Quito,Bioenergy Feedstocks
Diana Cristina Mayorga - Morales.,1055,uta.edu.ec,Universidad Técnica de Ambato,Inmunología
Juan E. Carrion,1054,ucuenca.edu.ec,"Professor, Department of Civil Engineering, Universidad de Cuenca","Structural Engineering, Structural Optimization, Earthquake Engineering, Steel Structures, Dynamic Testing"
Diego Bonilla-Jurado,1054,iste.edu.ec,Instituto Superior Tecnológico España,"Administración de empresas, proyectos empresariales & socio productivos, educación, tecnología."
wolf grabendorff,1054,uasb.edu.ec,Independent scholar,"Latin America, regional governance, geopolitics, international relations, defense and security"
Daniel Orellana,1051,ucuenca.edu.ec,Universidad de Cuenca,"GIS, Spatial Analysis, Urban Geography, Urban Sustainability, Human - Environment Interactions"
Jesus Portilla-Yandun,1045,epn.edu.ec,Escuela Politecnica Nacional,"ocean waves, climate, meteorology, spectral analysis"
MIGUEL GUZMAN H.,1042,espe.edu.ec,UNIVERSIDAD FUERZAS ARMADAS ESPE,"psicología, educación, neurociencia, ciencias forenses"
Radames Borroto Cruz,1040,sangregorio.edu.ec,universidad san gregorio de portoviejo,radamesborroto@gmail.com
Leony Ortiz Matos (ORCID: 0000-0002-7883-5513),1039,ups.edu.ec,Professor of Control Theory - Universidad Politécnica Salesiana Ecuador - GIREI,"Microgrid, System identification, Hierarchical Control, Fault Diagnosis, Fault Tolerant Control"
Lucía Eliana Manangón-Perugachi,1036,epn.edu.ec,"Escuela Politécnica Nacional, Departamento de Metalurgia Extractiva","Heterogeneous catalysis, selective oxidation, catalyst synthesis, extractive metallurgy"
Iván Narváez Quiñónez,1035,flacso.edu.ec,"Profesor investigador, Facultad Latinoamericana de Ciencias Sociales","Políticas Públicas, Derecho Ambiental, Derechos Colectivos Fundamentales, Reforma del Estado"
López-Hernández Orestes Darío,1035,uta.edu.ec,"Docente, Universidad Técnica de Ambato","spray drying, microencapsulation"
Martha Cecilia Yépez García,1035,usfq.edu.ec,"Colegio de Ciencias de la Salud, Universidad San Francisco de Quito USFQ","nutrition, epidemiology, biochemestry, human health, one health"
CO  Marquez Pereira,1034,unach.edu.ec,Universidad Nacional de Chimborazo - Ecuador,"forestry, soil science"
Manuel Pérez Quintana,1032,uea.edu.ec,Universidad Estatal Amazonica,"Biotecnologia, alimentacion"
Ana Lucia Patin Patin,1028,mailes.ueb.edu.ec,,
Carlos René Unda Lara (ORCID: 0000-0003-4033-8762),1028,ups.edu.ec,Professor of Sociology - Universidad Politécnica Salesiana,"Sociology, Qualitative Research, Political Theory, Youth Collective Action"
Ana Almendariz,1024,epn.edu.ec,"Investigadora , Escuela Politécnica Nacional","Herpetofauna del Ecuador y del Neotropico, Conservación"
Carolina Montero Calderón,1024,uce.edu.ec,"Facultad de Ingeniería Química, Universidad Central del Ecuador","Ingeniería Química, Catálisis Heterogénea, Energías Alternativas, Medio Ambiente"
Andrea C. Landázuri,1022,usfq.edu.ec,Universidad San Francisco de Quito,"contaminant transport, modeling, second generation biorefinery, green engineering, water treatment"
Mateo Granizo,1022,unach.edu.ec,,
ESTHER BUSTOS,1021,utelvt.edu.ec,Estudiante de la Carrera de Educación Básica,Pedagogía
Daniel Icaza Alvarez,1020,ucacue.edu.ec,"Universidad Católica de Cuenca, Cuenca, Ecuador","Energy, Renewable energy, Electrical Power Systems, Smart energy, Energy transition"
Manuel S. Alvarez Alvarado,1018,espol.edu.ec,Escuela Superior Politecnica del Litoral,Power & Energy Systems
Andres Baquero Larriva,1016,uazuay.edu.ec,Universidad del Azuay - Universidad Complutense de Madrid -,"Astrofísica, Física General, Física de altas energía"
Myriam Paredes,1013,flacso.edu.ec,FLACSO Ecuador,"Sociología rural, Sistemas agroalimentarios, Soberanía Alimentaria, Estilos de agricultura, Nutrición"
Román Alcides Lara-Cueva,1012,espe.edu.ec,"Profesor Principal Departamento de Eléctrica, Electrónica y Telecomunicaciones - ESPE","Cyber-Physical Systems, Wireless Sensor Networks, Ad Hoc Networks, Smart Cities, Machine Learning"
Killkana,1012,ucacue.edu.ec,Universidad Catolica de Cuenca,"Ciencias Sociales, Ciencias de la Salud, Técnicas e Ingenieria"
Daniel Romero-Alvarez,1011,uisek.edu.ec,Universidad Internacional SEK,Distributional ecology of pathogens. Zoonosis …
Felipe Burbano,1010,flacso.edu.ec,FLACSO-ECUADOR,"Populismo, Movimientos regionales, política latinoamericana, política ecuatoriana, estado"
Angela Bracho Mora,1008,utm.edu.ec,Profesora de Parasitología. Universidad Técnica de Manabí,"Parasitología, hemoparásitos, biología molecular, indígenas"
Sixifo Daniel Falcones Zambrano (ORCID:0000-0001-9470-5068),1006,espol.edu.ec,"Professor of Electrical Engineering, Escuela Superior Politécnica del Litoral (ROR …","Power Electronics, Microgrids, Renewable Energy, FACTS"
Evelyn Frias-Toral,1003,cu.ucsg.edu.ec,Universidad Catolica Santiago de Guayaquil,"Clinical Nutrition, Obesity, Vitamins, Oncology, Evidence Based Medicine"
Stephen Hernandez,1000,epn.edu.ec,"Instituto Geofísico, Escuela Politécnica Nacional","tectonic seismology, volcano seismology, statistical seismology, geophysics"
JOSE LUIS VERA PROCEL,995,unemi.edu.ec,UNIVERSIDAD ESTATAL DE MILAGRO,JURISPRUDENCIA
SONIA ZAPATA MENA,989,usfq.edu.ec,Universidad San Francisco de Quito,"Microbiología, Parasitología"
Mario A. García Pérez,986,sangregorio.edu.ec,Universidad San Gregorio de Portoviejo,"active packaging, chitosan, biodegradable films and coatings, food preservation, bioactive compounds"
Maria Belén Morales Cevallos,986,ecotec.edu.ec,Docente,
JENNIFER ADEANELYS RIOFRIO VEGA,984,unemi.edu.ec,Universidad Estatal de Milagro,"Educación Infantil, Herramientas técnicas de la infancia"
Maria Sol Villagómez Rodriguez (ORCID: 0000-0002-7510-6198),982,ups.edu.ec,Professor of Interculturality education - Universidad Politécnica Salesiana,"Education, Pedagogy, Curriculum, Interculturality, Learning Engineering"
YOLANDA AZUCENA CASTRO ROSERO,982,unemi.edu.ec,UNEMI,educacion
carolina Chica avellan,981,live.uleam.edu.ec,Estudiante,Investigación
Mayken Espinoza-Andaluz,977,espol.edu.ec,Professor at ESPOL (ROR 04qenc566) masespin@espol.edu.ec (orcid: 0000-0001-7809 …,"Fuel Cells, Transport Phenomena, Porous Media, Computational Physics, Lattice Boltzmann Method"
Douglas Antonio Plaza Guingla (ORCID: 0000-0002-1399-0627),977,fiec.espol.edu.ec,"Facultad de Ingeniería en Electricidad y Computación, Escuela Superior Politécnica del …","State estimation, Intelligent Control Systems"
Darwin Gabriel Garcia Herrera,976,ucacue.edu.ec,Universidad Católica de Cuenca,Tecnología y Educación
Ruben Basantes,976,yachaytech.edu.ec,Yachaytech,"Remote sensing, water resources, glaciology, climate"
David Ricardo Jiménez Montalvo,976,itsqmet.edu.ec,Instituto Tecnológico Superior Quito Metropolitano,"Recursos Humanos, Selección de Personal, Gestión de Desempeño"
Ezequiel ZAMORA-LEDEZMA,975,utm.edu.ec,"Profesor Principal, Universidad Técnica de Manabí","Soil Science, Carbon dynamics, Climate change, AgroEcosystems"
Pablo Cabrera-Barona,975,flacso.edu.ec,Facultad Latinoamericana de Ciencias Sociales-FLACSO,"GIScience, Urban Studies, Health and Socioeconomic Geographies, Spatial and Quantitative Methods"
Carlos Barba Ostria,974,usfq.edu.ec,"Escuela de Medicina, Universidad San Francisco de Quito, Quito, Ecuador","Synthetic Biology, Metabolic Engineering"
Ingrid Márquez Hernández,974,utmachala.edu.ec,Universidad Técnica de Machala,química
Michel Leiva Mora (ORCID:0000-0002-1846-4060),973,uta.edu.ec,"Docente-Investigador, Universidad Técnica de Ambato","Biotecnología vegetal, protección vegetal, microbiología vegetal"
Leonardo Manuel Cuetara Sánchez,970,utm.edu.ec,Universidad Técnica de Manabí,"Matemática aplicada, turismo, destinos turísticos, sostenibilidad en el turismo"
Adriana Amaya Rivas,969,espol.edu.ec,ESPAE Graduate School of Management,"Innovation Management, Entrepreneurship, Social Entrepreneurship, NPD"
Ismar Alejandra Rivera-Olivero,968,udla.edu.ec,Universidad de la Américas. Quito. OneHealth Research group,"Microbiologia, Micobacteriologia. Epidemiologia"
MARIA GRACIELA PEÑA BALCAZAR,968,unemi.edu.ec,estudiante Universitario,
Marjorie Acosta,966,ug.edu.ec,Universidad de Guayaquil,"Educación a Distancia, Administración, Marketing"
Omar S. Gómez,964,espoch.edu.ec,Escuela Superior Politécnica de Chimborazo,"Software and its engineering, Experimental Software Engineering, Evidence-based Software Engineering, Software Engineering"
Miguel Herrera Suárez,964,utm.edu.ec,Universidad Técnica de Manabí,Ciencias Técnicas
María José Pérez-Espinoza,964,umet.edu.ec,Universidad Metropolitana,"Empresas Familiares, Competitividad"
BRYAN JOSUE TASIGCHANA BELTRAN,964,unemi.edu.ec,Universidad Estatal de Milagro,"Biotecnología, Virología, Microbiología, Nanotecnología"
Arianna Valentina Briones Lucas,964,unemi.edu.ec,Ingeniería Industrial.,"Salud Ocupacional, Investigación"
Katherine Garcia,963,uce.edu.ec,Universidad Central del Ecuador,engineer
Walter Andrango,963,uniandes.edu.ec,"Estudiante de Sistemas, Universidad Uniandes",Ing. Sistemas
Roberth Ivan Zambrano Quiroz,962,utm.edu.ec,estudiante,AGROQUIMICOS
Jeremy Jose Guizado Infante,961,est.ucacue.edu.ec,"Estudiante de Ingenieria Civil, Universidad Catolica de Cuenca","Ingenieria, Industria y Construcción"
Alberto Rodríguez Rodríguez (ORCID: 0000-0002-1238-0106),958,unesum.edu.ec,Universidad Estatal del Sur de Manabí - Editor-Director: Revista Científica Multidisciplinaria …,"Matemáticas Superior, Investigación pedagógica"
Philipp Altmann,956,uce.edu.ec,"Profesor Titular de Teoría Sociológica, Universidad Central del Ecuador","Sociology, Indigenous People, Social Movements, Buen Vivir, Sociology of Science"
Magdalena Lopez-Ulloa,955,udla.edu.ec,"Docente-Investigador, Universidad de Las Américas, Quito-Ecuador","Fijación de Carbono en el suelo, Cambio Climático, Edafologia"
Fernando Garcés V. (ORCID: 0000-0002-0059-4932),955,ups.edu.ec,"Docente investigador, Universidad Politécnica Salesiana de Ecuador (Quito)","antropologia, lingüística, sociología, educación"
Jorge Cruz-Cárdenas,954,uti.edu.ec,"Docente Investigador, Universidad Tecnológica Indoamérica",Business and Management
Andrea Noemí Rocafuerte Guanoluiza,953,unemi.edu.ec,Estudiante Unemi,inteligencia emocional
Ana María Goetschel,952,flacso.edu.ec,"Historiadora, Sociología, Estudios de Género, Historia Andina, Estado","Historia, sociología, estudios de género, historia de las mujeres, constitución del estado"
Leonardo Goyos Pérez,950,espe.edu.ec,Universidad de las Fuerzas Armadas (ESPE),"Ingeniería de Materiales, Biomateriales, Biocombustibles"
Kevin Geancarlo Barroso Constante,949,unach.edu.ec,Universidad Nacional de Chimborazo,Tecnologías de la Información
José Geovanny Vega Pérez,948,uta.edu.ec,Profesor de la Uninersidad Técnica de Ambato,"Seguridad e Hingiene Industrial, Educación y Aprendizaje, Ingenieria e Industria"
Mauricio Espinoza Mejía,947,ucuenca.edu.ec,"Universidad de Cuenca, Universidad de Zaragoza, UPM","Semantic Web, ontologies, knowledge representation"
Arturo Luque González | Ror: 02qgahb88 | Orcid.org/0000-0002-4872-891X,945,utm.edu.ec,Universidad Técnica de Manabí / Observatorio Euromediterráneo de Espacio Público y …,"Social Corporate Responsibility, Social Economy, Human Rights, Environment, Globalization"
Maria Elisa Galarraga Vinueza,945,udla.edu.ec,"Tufts University, Boston-USA","Implant Dentistry, Peri-implantitis, Prosthodontics"
Stanislaus Sonnenholzner (ORCID 0000-0002-5723-3994),945,espol.edu.ec,Profesor Titular Agregado 3 Escuela Superior Politécnica del Litoral (ROR 04qenc566),Acuicultura Calidad-Agua
Vladimir Robles-Bykbaev (ORCID: 0000-0002-7645-8793),943,ups.edu.ec,"GI-IATa, UNESCO Chair on Support Technologies for Educational Inclusion - U. Politécnica …","Computer Vision, Artificial Intelligence, Assistive Technologies"
Ernesto Negrin Sosa,943,espam.edu.ec,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,"Administración de Empresas, Administración de Producción/Operaciones, Gestión de Procesos"
Fabiola Cornejo,942,espol.edu.ec,Escuela Superior Politécnica de Litoral,"Food Science, Cereals, Water in Foods, Food Dehydration"
"Eco. Kleber Luna Altamirano, Ph.D;   Posdoctor en Gestión del Conocimiento y Políticas Públ",940,ucacue.edu.ec,Universidad Católica de Cuenca,Ciencias Sociales y Administrativas
Zuleima Santalla de Banderali,939,uees.edu.ec,Proffesor at Universidad de Especialidades Espíritu Santo,"Organizational Psychology, Enviromental Psychology, Consumer Research, Behavioral Ethics"
DENNISE ALEXANDRA DURAN VASQUEZ,938,unemi.edu.ec,UNEMI,EDUCACION INICIAL
cris ortiz,938,utpl.edu.ec,Estudiante de Derecho UTPL,DERECHO
Francisco J. Alvarez,937,yachaytech.edu.ec,Yachay Tech University,"Genetics, Microbiology, Microbial Interactions, In vitro models"
Lenny Beatriz Capa Benitez,936,utmachala.edu.ec,"Docente Investigador, Profesora de Costos de Produccón y Auditoría","Producción y Ambiente, Auditoria, Negocios"
"Juan Pablo Muñoz-Pérez, PhD (c)",935,usfq.edu.ec,Universidad San Francisco de Quito (USFQ) & UNC-Chapel Hill Galápagos Science Center …,"Marine Biology, Conservation, Sustainable development, Ecology, Animal Behavior"
Enrique Richard (https://orcid.org/0000-0002-0061-7807),934,sangregorio.edu.ec,"Profesor, Univ. San Gregorio de Portoviejo (Ecuador). Investigador Principal III SENESCYT","Conservation Biology, Wildlife Management, Birds, Urban Ecology, Education"
Alessio Ausili,932,utpl.edu.ec,Universidad Tecnica Particular de Loja,
Angel D Ramirez (ORCID: 0000-0003-3846-3396),931,espol.edu.ec,Escuela Superior Politécnica del Litoral (ROR 04qenc566) ESPOL,"life cycle assessment, carbon footprint, circular economy, sustainable energy, sustainable engineering"
BETSY LETICIA MACIAS WILSON,930,unesum.edu.ec,,
ALLISSON  ESTEFANY RIZZO  RODRIGUEZ,930,ulvr.edu.ec,Estudiante de Psicología,Electrónica
Darly Marcell Pezo Quimiz,928,ug.edu.ec,facultad de educación física Deporte Y Recreación  (Feder),Educación Física
Yordy Ramiro Cimarron De La Cruz,928,utpl.edu.ec,"Yordy Cimarron, Universidad Tecnica Particular De Loja","Formativa, Articulo Cientifico"
Humberto Aníbal Parra Cárdenas,926,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE,"Geoestadística, sismología, geografía, gestión educativa"
Stalin Santacruz,925,uleam.edu.ec,"DOCENTE INVESTIGADOR, UNIVERSIDAD LAICA ELOY ALFARO DE MANABI",CIENCIA DE ALIMENTOS
Hugo Jácome Estrella,923,flacso.edu.ec,"Profesor Investigador, Facultad Latinoamericana de Ciencias Sociales","Economía Solidaria, Economía Social, Cooperativismo"
Lucy Baldeón R,922,uce.edu.ec,PhD,"Immunology, Infectology"
Neyfe Sablón-Cossio (ORCID ID:0000-0002-6691-0037),921,utm.edu.ec,Universidad Técnica de Manabí,"supply chain, integration, administration, cadenas de suministro, economía circular"
Edwin Santamaria Freire,920,uta.edu.ec,(ORCID http://orcid.org/0000-0003-2636-9685) (B-5430-2017) Universidad Técnica de …,"Empresas familiares, estadística, marcas propias, turismo, huella social"
yamilex guaman,920,uea.edu.ec,Universidad Estatal Amazonica,revistas turisticas
Wilson Guillermo Siguenza Campoverde,919,utpl.edu.ec,"Profesor, Universidad Técnica Particular de Loja","Psicología, Educación"
María-Eugenia Sánchez,919,udla.edu.ec,"Universidad de Las Américas, Quito-Ecuador",
Jorge López-Vargas,917,utpl.edu.ec,"Universidad Técnica Particular de Loja, Departamento de Ciencias de la Computación y …","linked data, semantic web, sna, social network analysis, open access"
Eddy Pazmiño,917,epn.edu.ec,Escuela Politécnica Nacional,Colloid Transport in Porous Media
Jose Alvarez-Barreto,917,usfq.edu.ec,Universidad San Francisco de Quito,"biomaterials, biotechnology, biomedical engineering"
Alejandro Rodriguez,916,uide.edu.ec,Universidad Internacional del Ecuador,"asthma, social epimidemiology, urban health, sociology of health and illness"
Demmy Vallejo,915,unemi.edu.ec,universidad estatal de milagro,enfermeria
Samuel Sánchez Gálvez,912,ug.edu.ec,Doctor en Ciencias Históricas-Profesor Titular-Universidad de Guayaquil,"Historia de la masonería, Historia de las instituciones, Historia de las ideas, Religión, Educación"
JEFFERSON RICARDO VERDUGA BARRE,912,intsuperior.edu.ec,,
Daniela De la cruz,912,ug.edu.ec,Universidad de Guayaquil,Pogramación
María Alejandra Zambrano,911,usfq.edu.ec,Universidad San Francisco de Quito,"Literatura ecuatoriana, cine comunitario, literatura brasileña"
John  Fernando Granados Romero,910,ug.edu.ec,"PhD. Professor of Educational Technology and Informatics, University of Guayaquil","Didáctica en los EVA, TIC, Convergencias Tecnológicas, Tecnologías Emergentes, Formación Continua"
MAYRA ALEXANDRA  ANGAMARCA-COLALA,909,Itsqmet.edu.ec,INSTITUTO TECNOLÓGICO UNIVERSITARIO QUITO METROPOLITANO,METODOLOGÍA DE INVESTIGACIÓN
