Nombre,Citas,Correo,Afiliación,Temas de Interés
JAN FEYEN,15550,ucuenca.edu.ec,Katholieke Universiteit Leuven,"soil physics, hydrology"
DOLORES SUSANA ANDRADE TENESACA,15120,ucuenca.edu.ec,Researcher of Cuenca University (Ecuador),"adolescents, epidemiology, physical fitness, physical activity"
Jose Wilton Garcia Moran,14247,istvr.edu.ec,alumno,todas
Marcos Serrano-Dueñas,13774,puce.edu.ec,Profesor de la Pontificia Universidad Católica del Ecuador,"Neurología, Movimientos Anormales, Investigación Médica"
Silvia Maria Caicedo Briones,13741,utm.edu.ec,Maestrante de Gestión de Talento Humano de la UTM,"Talento Humano, Formacion, Desarrollo"
NARELA JACQUELINE URIBE TOMALA,13347,unemi.edu.ec,Universidad Estatal de Milagro,Educación Infantil
Carlos Lopez Caceres,12666,uta.edu.ec,Universidad Técnica de Ambato,Ingeniería Civil
Angélica Ochoa Avilés,12271,ucuenca.edu.ec,Universidad de Cuenca,"Public Health, Nutrition"
Jesus Echever RS,11800,espol.edu.ec,Profesor de Pedagogía de las Ciencias Experimentales,"Didáctica, Pedagogía y Neurociencia de la Educación …"
ECCER ALEXANDER GARCIA GARCIA,11140,unemi.edu.ec,Estudiante Superior,Enfermeria Estadistica Anatomia Fisiologia …
Gandhy Garcia,10630,unach.edu.ec,Universidad Nacional de Chimborazo,Tecnología
José M. Alvarez-Suarez (ORCID:0000-0001-8509-1498),10414,usfq.edu.ec,Universidad San Francisco de Quito,"Natural antioxidants, Food Chemistry, Oxidative stress, Aging"
María Vera,10223,utm.edu.ec,"Estudiante de psicología, Universidad Técnica de Manabí","Psicología infantil, psicología clínica"
Israel Jacob Sánchez Duran,10120,est.ups.edu.ec,822 - Universidad Politécnica Salesiana,Social Communication
Santiago R. Ron,10110,puce.edu.ec,"Professor-Curator, Museo de Zoología, Pontificia Universidad Católica del Ecuador","Evolutionary Biology, Conservation Biology, Herpetology"
Fray MARTINEZ-REYES,9911,uazuay.edu.ec,"Profesor de Investigacion y Bioestadistica, Universidad del Azuay","Epidemiologia, Epidemiologia del Cancer, Metodologia de la Investigacion, Bioestadistica, Medicina Familiar"
Jaime Breilh,9745,uasb.edu.ec,"Director CILABSalud - Director Collective Health PHD Program, Universidad Andina …","epidemiology, environmental sciences, epistemology, methodology, history of health sciences"
Miguel Angel Herrera Cango,9371,unl.edu.ec,Estudiante,Metodologia de la investigacion.
Diego F. Cisneros-Heredia (ORCID:0000-0002-6132-2738),9224,usfq.edu.ec,"Instituto de Biodiversidad Tropical IBIOTROP, Universidad San Francisco de Quito USFQ","Zoology, Natural History, Urban Ecology, Taxonomy, Conservation"
MELANIE EVELINA CARDENAS GOMEZ,9140,unemi.edu.ec,UNEMI,Educaciòn inicial
Juan M. Guayasamin,8971,usfq.edu.ec,Universidad San Francisco de Quito - USFQ,"Evolutionary biology, Taxonomy, Conservation, Ecology"
Manuel Lara G.,8944,espol.edu.ec,DOCENTE ELECTROMECANICA AUTOMOTRIZ,"Electronica general, electronica Digital. microprocesados, etc"
WILMER ANDRES LOOR MORALES,8787,espam.edu.ec,Estudiante ESPAM,"Medicina, Veterinaria, Cirugía, Biomateriales"
Alejandra Perez,8786,ug.edu.ec,"profesora de computacion, Universidad estatal de guayaquil","fisica, biologia, matematica, quimica, literatura"
Benedict Clements,8778,udla.edu.ec,"Profesor, Universidad de las Américas, Ecuador","macroeconomics, public sector economics, inequality, climate change"
Juan Carlos Erazo Álvarez (ORCID: 0000-0001-6480-2270),8470,ucacue.edu.ec,Universidad Católica de Cuenca,"Administración, Capital Intelectual, Contabilidad, Educación Superior, Marketing"
Antonio Leon-Reyes,8091,usfq.edu.ec,"Universidad San Francisco de Quito (USFQ), Ecuador","Plant Biology, Plant Microbe-Interactions, Phytopathology, Biological Control, Plant Pathology"
Eudaldo Enrique Espinoza Freire,7981,utmachala.edu.ec,Instituto Superior Tecnológico Jubones - UTMACH,"Educación, Investigación, Pedagogía, Didáctica"
Guido Olivier Erazo Alvarez,7927,ucacue.edu.ec,Universidad Católica de Cuenca,"administración, dirección y gestion de proyectos"
Jose Manuel Castellano Gil,7753,unae.edu.ec,Profesor Titular UNAE y miembro de la Academia Nacional de Historia Ecuador,"Historia, Patrimonio, Cultura, Educación, Desarrollo Local"
Walter Palacios,7677,utn.edu.ec,Herbario Nacional del Ecuador_INABIO/Universidad Técnica del Norte,"Ecología forestal, dendrología, manejo forestal"
Alejandra Ramirez,7544,espe.edu.ec,"estudiante, Universidad de las Fuerzas Armadas ESPE",turismo de congresos y convenciones
Mila,7142,est.liceopanamericano.edu.ec,,
Hisakazu Minakata,6935,yachaytech.edu.ec,Yachay Tech University,Neutrino Physics
Jheimy Luceli Hurtado Narváez,6860,espoch.edu.ec,Escuela Superior Politécnica de Chimborazo,Tecnologías de la Información
"Dr. C. Jesús Estupiñán Ricardo, PhD",6780,uniandes.edu.ec,Dr. Ciencias Pedagógicas UNIANDES Ecuador. Dr. Honoris Causa en Educación Superior …,"Ciencias Pedagógicas, Ciencias de la Educación, Ciencias Sociales, Investigación Científica, Neutrosophic"
Santiago Calero Morales,6684,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE; Universidad de Ciencias de la Cultura Física y …,"Actividad Física, Deportes, Salud"
Maikel Yelandi Leyva Vázquez,6630,uniandes.edu.ec,Universidad Regional Autónoma de los Andes (UNIANDES)-GIIAR,"softcomputing, fuzzy cognitive maps, artificial intelligence, neutrosophic, machine learning"
Arturo Andres Hernandez Escobar,6538,unesum.edu.ec,"Profesor de Geología, Universidad Estatal del Sur de Manabí","INGENIERÍA AMBIENTAL, GESTIÓN DE RIESGOS NATURALES"
Juan Loor,6351,utm.edu.ec,Estudiante Postgrado Universidad Técnica de Manabí,"Administración, finanzas, economía"
David A. Donoso,6207,epn.edu.ec,"Escuela Politécnica Nacional, Fellow Ecuadorian Academy of Sciences","Ants, Community Ecology, Ecosystem Ecology, Global Change"
Samantha Argudo,6198,est.ucacue.edu.ec,Universidad católica de Cuenca,Arquitectura
GABRIELA RAQUEL RON CORDERO,6173,unemi.edu.ec,Universidad Estatal de Milagro,Educación
Gabriel Trueba,6170,usfq.edu.ec,"Universidad San Francisco de Quito, Ecuador","Microbiology, Infectious diseases"
"Luis Cumbal, Adjunct Reseacher",6033,espe.edu.ec,Reseacher,"Nanotechnology, Environmental Remediation, Nanomaterials"
Rafael Alvarado,6022,unl.edu.ec,Universidad Nacional de Loja.,"Sustainable Development, Environmental Economics, Energy Economics, Regional Economics."
Angel D. Sappa,5991,espol.edu.ec,ESPOL Polytechnic University (Ecuador) and Computer Vision Center (Spain),"Image Processing, Computer Vision, 3D Vision, 3D Modeling"
Yovani Marrero-Ponce,5955,usfq.edu.ec,"Universidad San Francisco de Quito (USFQ), Quito, Ecuador; Fundación Universitaria …","drug design and discovery, molecular descriptor and QSAR, Bioinformatic and cheminformatics, in silico toxicology, ADME predicti"
JD Williams,5943,espe.edu.ec,Universidad de las fuerzas armadas,"Economia, Pbi"
Mario C. Ruiz,5703,igepn.edu.ec,"Profesor Principal, Escuela Politécnica Nacional","Sismología, Monitoreo volcánico, Infrasonido"
Gabriel Salazar,5686,est.ups.edu.ec,Estudiante - Universidad Politécnica Salesiana,"psicología social, investigación, desarrollo humano integral"
MARIA ALEJANDRA BONE ESTRADA,5646,utelvt.edu.ec,Maria Bone,Universidad Técnica Luis Vargas Torres
Gioconda Herrera Mosquera,5603,flacso.edu.ec,Facultad Latinoamericana de Ciencias Sociales,"Migración, género, migraciones andinas, ciudadanía, globalización"
KIMBERLYN ROCIO RODRIGUEZ NARANJO,5553,unemi.edu.ec,Estudiante de la Carrera de Economía de la Universidad Estatal de Milagro,"Economía, Ciencia, Historia, entre otras."
Rolando Célleri Alvear,5531,ucuenca.edu.ec,"Profesor, Departamento de Recursos Hídricos y Ciencias Ambientales, Universidad de …","Hidrología, Ecohidrología, Recursos Hídricos, Meteorología y climatología aplicada"
Carlos Ramos-Galarza,5415,puce.edu.ec,Pontificia Universidad Católica del Ecuador,Psicología
Magus Ulloa,5303,utc.edu.ec,Universidad Técnica de Cotopaxi,"informática, seguridad informática, inteligencia artificial, programación"
Patricia A Mothes,5237,epn.edu.ec,"Escuela Politécnica Nacional, Quito Ecuador","Volcanology, Geodesy_GPS, Calderas"
Andrea C. Encalada,5072,usfq.edu.ec,"Instituto BIOSFERA, Laboratorio de Ecología Acuática, Universidad San Francisco de Quito","Stream ecology, aquatic invertebrates, climate change, decomposition of organic matter"
Fray Cleiton Martínez Reyes,5062,uazuay.edu.ec,"Profesor de Metodologia de la Investigacion y Epidemiologia, Facultad de Medicina …","Epidemiologia, Bioestadistica, Metodologia de la Investigacion, Sociologia, Antropologia"
ARTURO CARPIO RODAS,5060,ucuenca.edu.ec,"University of Cuenca, Ecuador","neurology, epilepsy, neurocysticercosis, neuroepidemiology"
Verónica Sánchez Puertas,5055,udet.edu.ec,"Estudiante, Universidad de Especialidades Turísticas",Gestión Cultural
René-Vinicio Sánchez Loja (ORCID: 0000-0003-0395-9228),5028,ups.edu.ec,"Universidad Politécnica Salesiana, Ecuador","Fault diagnosis, Mechanical Engineering, Maintenance, Condition Monitoring, Engineering Education"
Ivonne Narváez Zurita,5017,ucacue.edu.ec,Universidad Católica de Cuenca,"Contabilidad, Administración, Economía, Competencias laborales, Educación"
Carlos Ivan Espinosa,4835,utpl.edu.ec,"Universidad Técnica Particular de Loja, Loja, Ecuador","Ecology, Biodiversity, Community Ecology, Conservation, Dry Forest"
Diego G. Tirira PhD,4748,yachaytech.edu.ec,Universidad Yachay Tech,"Mammalogy, Biodiversity, Conservation Biology, primates, bats"
Camilo Félix,4734,ute.edu.ec,"Profesor de Farmacología, Universidad UTE, Ecuador","Enfermedades Cardiovasculares, Cardiometabolicas, Crónicas no Transmisibles"
"Prof. Arturo Martí-Carvajal, MD, MSc, Ph.D (ORCID iD: 0000-0001-8677-3351)",4681,ute.edu.ec,"Universidad de Carabobo, Venezuela. Universidad UTE, Ecuador","Synthesis of evidence, Systematic Review, Evidence-Based Medicine"
Cesar Lodeiros,4679,utm.edu.ec,"Dpto. Acuicultura y Pesca, Facultad de Ciencias Veterinaria, Universidad Técnica de …","Ciencias marinas, acuicultura, moluscos"
Mariela Cerrada Lozada (ORCID: 0000-0003-4379-8836),4656,ups.edu.ec,"Universidad Politécnica Salesiana, Cuenca-Ecuador","Fault diagnosis, Rotating machines, Artificial intelligence, Machine Learning, Control systems"
Joaquin L. Brito,4496,ikiam.edu.ec,"Docente-Investigador, Universidad Regional Amazónica IKIAM & Investigador Emérito, IVIC","heterogeneous catalysis, surface physicochemistry, materials physicochemistry, oil hydrotreatment"
Paul Cardenas,4449,usfq.edu.ec,Universidad San Francisco de Quito,"Microbiology, Genomics, Infectious Diseases, Microbiome"
Diego S. Benitez (ORCID: 0000-0001-6219-067X),4438,usfq.edu.ec,"Faculty of Science and Engineering, Universidad San Francisco de Quito USFQ","Smart Sensor Systems, Signal and Image Processing, Biomedical Systems, Machine Learning applications, Non-destructive Testing"
Francisco Cuesta C.,4408,udla.edu.ec,"Universidad de las Américas, Ecuador",Tropical Ecology
Theofilos Toulkeridis,4373,espe.edu.ec,Professor of Geology and Isotope Geochemistry at Universidad de las Fuerzas Armadas …,"Risk assessment, Geology, Volcanology, Speleology, Natural heritage"
JOHN DANIEL TOALA REYES,4343,unesum.edu.ec,,
Carlos Larrea,4339,uasb.edu.ec,"Professor, Universidad Andina Simón Bolívar",development sustainability poverty
Nestor Daniel Mendoza Benitez,4328,utm.edu.ec,"Estudiante de Electricidad, Universidad Técnica de Manabí",eléctrica
Vladimir Vega Falcón,4291,uniandes.edu.ec,"Universidad Regional Autónoma de los Andes (UNIANDES), Ecuador","Balanced Scorecard, Capital Intelectual, Contabilidad de Gestión, Metodología de la Investigación, Redacción científica"
Paul Vicente Pionce Muñiz,4262,unesum.edu.ec,Unesum,Pecuaria
Omar Torres-Carvajal,4236,puce.edu.ec,Pontificia Universidad Católica del Ecuador PUCE,"Evolutionary Biology, Biogeography, Phylogenetic Systematics, Ecology, Herpetology"
María Auxiliadora Guerrero-Bejarano,4221,tes.edu.ec,Tecnológico Universitario Espíritu Santo,"Liderazgo, Comportamiento Organizacional, Satisfacción Laboral"
LUCIA GARCIA,4215,utpl.edu.ec,ESTUDIANTE,Educación Inicial
Jacobus H. de Waard,4193,udla.edu.ec,"Instituto de Biomedicina, Universidad Central de Venezuela",Diagnosis and epidemiology of Tuberculosis …
KLEYNER SOLEDISPA GARCIA,4185,itscv.edu.ec,,
Dr Brajesh Kumar,4179,espe.edu.ec,"HOD Chemistry, TATA College, IN & Adjunct Professor, Universidad de las Fuerzas …","Nanotechnology, Green Synthesis, Environmental Remediation, Natural Products, Analytical Chemistry"
ANGEL LUIS RUIZ VERA,4147,unemi.edu.ec,UNEMI,de todo
"Alexis Debut, Professor",4146,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE,Nanotechnology
Maria Cecibeth Vera Saldarriaga,4139,utm.edu.ec,"Estudiante de psicología, Universidad Técnica de Manabí",Psicología clínica
Nora H. Oleas,4106,uti.edu.ec,"Universidad Tecnológica Indoamérica, Ecuador","conservation, genetics, botany"
LORENA ELIZABETH OCHOA GOMEZ,4090,istvr.edu.ec,Instituto Superior Tecnológico Vicente Rocafuerte,COMERCIO EXTERIOR
Ernesto Medina Dagger,4080,usfq.edu.ec,"Researcher at Universidad San Francisco de Quito, Ecuador and IVIC Venezuela","Nanoscience, condensed matter physics, statistical mechanics"
Erika Garcia,4073,fcjse.utb.edu.ec,estudiante,"psicologia, general"
María Cristina Peñuela Mora,4021,ikiam.edu.ec,Universidad Regional Amazónica Ikiam,"Ecología aplicada a especies útiles …, Dinámica de bosques"
Zhofre Aguirre Mendoza (orcid: https://orcid.org/0000-0002-6829-3028),3987,unl.edu.ec,Universidad Nacional de Loja,"Biodiversidad, flora, conservacion, vegetacion"
Alvaro García Sánchez,3962,utb.edu.ec,Masters student,"Agronomy, Microbiology, Malherbology, Phytopatology, Agricultural."
Esteban Ortiz-Prado,3934,udla.edu.ec,Principal Professor Universidad de las Americas,"COVID-19, High altitude Physiology, LaTam Epidemiology, Global Health, WaSH"
Juan Ernesto Guevara Andino,3912,udla.edu.ec,Universidad de las Américas,"Ecology, Evolution, Floristics, Biogeography, Phylogenetics"
Hugo Navarrete,3875,puce.edu.ec,Pontificia Universidad Católica del Ecuador,"Biodiversidad, etnobotánica, biotecnología, uso de recursos naturales, conservación."
Majid Khorami,3875,ute.edu.ec,Universidad UTE,"Fiber-reinforced concrete, UHPFRC, Concrete Technology, Artificial Intelligence, shear connector"
selenia castillo,3829,unemi.edu.ec,unemi,educacion infantil
Xavier García Lomas,3791,utm.edu.ec,"Piscologo Clinico, Profesor Universidad Tecnica de Manabi","Psicologia Cognitiva, Sexología Clínica, Neurociencias Cognitivas, Neuropsicologia"
Juan-Carlos Navarro,3786,uisek.edu.ec,"Universidad Internacional SEK, Ecuador / Univ Central de Venezuela","Epidemiology, Vector Borne Diseases, arboviruses, emerging diseases, biodiversity"
Wilma Freire,3741,usfq.edu.ec,Universidad San Francisco de Quito,Epidemiologia nutricional
Liliana Alexandra Cortez Suarez,3739,utmachala.edu.ec,"Docente, Coordinadora Académica, Universidad Técnica de Machala",
GLORIA LOOR-CEBALLOS,3683,unemi.edu.ec,Universidad Estatal de Milagro,Gestion de Proyectos. Desarrollo y …
Paola E. Leone,3606,ute.edu.ec,"Centro de Investigación Genética y Genómica, Universidad Tecnológica Equinoccial","Human genetics, genomics, cancer genetics, genotoxicology, human population"
TK Sako,3602,yachaytech.edu.ec,"Yachay Tech University (Ecuador),  Institute for Cosmic Ray Research (Japan)",Cosmic Ray Physics
Andres Merino-Viteri,3564,puce.edu.ec,"Profesor / Investigador, Escuela de Ciencias Biológicas, Pontificia Universidad Católica del …","Amphibian ecology, Ecophysiology, Climate change impacts, Threatened species conservation"
MARIA SALDARREAGA GARCIA,3548,tsachila.edu.ec,INSTITUTO TECNOLOGICO SUPERIOR TSACHILA,QUIMICA
Washington B. Cárdenas,3542,espol.edu.ec,Escuela Superior Politécnica del Litoral,Virology
Ricardo León,3524,unach.edu.ec,Universidad Nacional de Chimborazo,Comunicación Política Comunicación …
Olga Gloria Barbón Pérez,3504,unach.edu.ec,Docente investigador UNACH,"Formación doctoral, Redacción científico-académica, Investigación científica estudiantil, Pedagogía"
Duncan John Mowbray,3481,yachaytech.edu.ec,"Full Professor, Yachay Tech University",
Enrique V. Carrera,3467,espe.edu.ec,Universidad de las Fuerzas Armadas - ESPE,"Signal Processing, Artificial Intelligence"
Fernando Carrión Mena,3457,flacso.edu.ec,"Académico del Departamento de Estudios Políticos, FLACSO Sede Ecuador","Centros históricos, seguridad ciudadana, políticas urbanas, desarrollo local, estudios sobre fútbol"
GUEVARA ALBAN GLADYS PATRICIA,3439,utb.edu.ec,"Docente Titular, Universidad Técnica de Babahoyo","TICS, Software, Educación, Investigación"
NELLY ESTHER CASTRO MOLINA,3433,utb.edu.ec,Universidad Técnica de Babahoyo,"Educación, calidad, investigación, inglés"
Gonzalo Rivas-Torres,3432,usfq.edu.ec,Universidad San Francisco de Quito,"plant ecology, biological invasions, spatial explicit conservation"
Consuelo Hernandez,3422,puce.edu.ec,Pontificia Universidad Católica del Ecuador,"ecology, economic botany, database management, environmental consultancy"
DAVIS JIM,3402,uide.edu.ec,ESTUDIANTE DE DERECHO UIDE,"Investigación, Consultas, Leyes y Jurisprudencia"
Cueva,3231,unemi.edu.ec,"UNIVERSIDAD ESTATAL DE MILAGRO,ESTUDIANTE",teoria del campo
Daniel Simancas-Racines,3228,ute.edu.ec,"Universidad UTE, Centro de Investigación en Salud Pública y Epidemiología Clínica","Salud pública, Epidemiología Revisiones sistemáticas, metanálisis, GRADE, medicina basada en evidencia"
Ariel Romero Fernández,3201,uniandes.edu.ec,profesor universitario (UNIANDES),Gestión de la Educación Superior y …
Gema Gonzalez,3189,yachaytech.edu.ec,"Yachay Tech University, Physics and Nanotechnology School &Venezuelan Institute for …","nanomaterials, biomaterials, electron microscopy, mechanical alloying"
María Rodríguez Gámez,3181,utm.edu.ec,"Universidad Técnica de Manabí, Pontificia Universidad Católica del Ecuador","FRE, RIBIERSE-CYTED, Educación, sistemas de información geográfica, planeamiento eléctrico"
Dayana Nicole Moreno Briceño,3177,unach.edu.ec,Universidad Nacional de Chimborazo,Comunicación
Manuel Calvopiña,3169,udla.edu.ec,"Escuela de Medicina, Universidad De Las Americas (UDLA), Quito, Ecuador","medicine, epidemiology, infectiuos diseases, parasitology"
Enrique Teran,3168,usfq.edu.ec,Universidad San Francisco de Quito,"Medicine, preeclampsia, pharmacogenetics, HIV, chronic metabolic diseases"
Guillaume Fontaine,3149,flacso.edu.ec,Laboratorio de Políticas Comparadas (FLACSO),"corrupción, políticas públicas, métodos múltiples, diseño institucional"
Manuel Dután-Castro,3148,unemi.edu.ec,Universidad Estatal de Milagro,Desarrollo Sostenible
JORGE LUIS DOMINGUEZ VITE,3118,unemi.edu.ec,Universidad Estatal de Milagro,Tecnología de la Información
Miriam Peña Gonzalez,3102,ug.edu.ec,Universidad de Guayaquil,"Inteligencia artificial, Diasporas, marketing, proyectos"
Osmany Cuesta Rubio,3099,utmachala.edu.ec,Universidad Técnica de Machala,"productos naturales, cromatografía, espectroscopia"
Oscar Camacho.            (Orcid: 0000-0001-8827-5938),3098,usfq.edu.ec,Universidad San Francisco de Quito USFQ,"Sliding Mode Control, Time delay systems, Process Control"
Jenny Antonia Rodríguez León,3090,espol.edu.ec,"Docente investigadora, ESPOL, CENAIM","Inmunología, Biología marina, productos naturales"
Marleen Haboud,3079,puce.edu.ec,"Docente-Investigadora, Pontificia Universidad Católica del Ecuador","Sociolingüística/Geolingüística, Lenguas en Contacto, Bilingüismo, Documentación y Revitalización Lingüística, Educaci"
Esteban Samaniego,3076,ucuenca.edu.ec,"Universidad de Cuenca, Ecuador","theoretical and applied mechanics, computational science and engineering, environmental systems"
Blanca Rios-Touma,3076,udla.edu.ec,"Grupo de Investigación en Biodiversidad, Medio Ambiente y Salud, BIOMAS,Universidad de …","Aquatic Ecology, Diversity, Conservation, Entomology, River Restoration"
José Manuel Aller Castro (ORCID: 0000-0002-4704-1067),3074,ups.edu.ec,Universidad Politécnica Salesiana - Cuenca - Electrical Engineering - Ecuador,"Electrical Engineering, Electrical Machines, Power Electronics, Energy, PV conversion"
ELIAS ISRAEL LARREA MARTINEZ,2999,unemi.edu.ec,estudiante,psicologia
Bryan Rivera Delgado,2975,ug.edu.ec,Universidad de Guayaquil,
Jose Ignacio Herrera Rodriguez,2963,unae.edu.ec,UNAE,"psicologia educativa, educacion inclusiva, educacion especial"
Luciano Martínez Valle,2956,flacso.edu.ec,Profesor - Investigador. FLACSO- Ecuador,"Capital social, Territorio, Sociología Rural, Empleo rural"
Alex Hearn,2942,usfq.edu.ec,Universidad San Francisco de Quito,Marine Biology
Franklin Ramírez Gallegos,2937,flacso.edu.ec,Profesor-Investigador Programa de Sociología Política FLACSO-Ecuador,"Movimientos Sociales, Instituciones Participativas, Izquierdas, Estado"
Nikolay Aguirre,2927,unl.edu.ec,"Universidad Nacional de Loja, Ecuador","restauración ecológica, cambio climático, biodiversidad y servicios ecosistemicos, ecosistemas tropicales, Ecuador"
Jorge Maldonado-Mahauad,2922,ucuenca.edu.ec,Profesor Facultad de Ingeniería - Universidad de Cuenca,"Learning Analytics, MOOC, Self Regulation, Engagement & Neuroscience, Artificial Intelligence"
María-Eugenia Sánchez,2908,udla.edu.ec,Universidad de Las Américas,"citogenética convencional y molecular …, genética molecular humana, genética de poblaciones, genotoxicidad"
Jefferson Michael Acosta Ortiz,2897,utm.edu.ec,Universidad Técnica de Manabí,Introducción Metodología Investigación …
Leonardo Gutierrez,2894,upacifico.edu.ec,Universidad del Pacifico,Environmental Engineering
Patricio Crespo,2878,ucuenca.edu.ec,"Departamento de Recursos Hídricos y Ciencias Ambientales, Universidad de Cuenca …","Ecohydrology, Isotope Hydrology, Catchment hydrology, global change impacts"
Andrés López-Cortés,2861,udla.edu.ec,Universidad de Las Américas,"Cancer Research, Pharmacogenomics, Precision Medicine, Artificial Intelligence"
Carlos F. Mena,2818,usfq.edu.ec,Universidad San Francisco de Quito,"Human-Environment Systems, Galapagos, Amazon, Ecuador"
David Rivera,2812,ug.edu.ec,Universidad de Guayaquil,Tecnología
CRYSTOPHER DANIEL CAICEDO BRICE,2807,est.itstena.edu.ec,Estudiantes de UNIANDES,DERECHO
Raidell Avello Martínez (ORCID:0000-0001-7200-632X),2797,ube.edu.ec,Universidad Bolivariana del Ecuador (ROR: 031aa0x95),"AI Literacy, Data Literacy, Digital Literacy, eLearning, Educational Technology"
Maximo Gallignani,2768,utm.edu.ec,Universidad Técnica de Manabí,"Química Analítica, Química Ambiental"
Marcos Villacís,2766,epn.edu.ec,Escuela Politécnica Nacional,"Hydrology, Climatology, Water Resources"
