Nombre,Citas,Correo,Afiliación,Temas de Interés
Jose L. Morales Gordon,74,espoch.edu.ec,ESPOCH,Ingenieria
CATHERINE  CULQUI CERON,74,utc.edu.ec,"Docente de Educación Inicial, Universidad Técnica de Cotopaxi",Educación
Nataly Pozo Viera,74,usfq.edu.ec,Universidad San Francisco de Quito,
María Fernanda Alava-Vera,74,ug.edu.ec,Universidad de Guayaquil,"Industria farmacéutica, industria química, agricultura"
Charly Marlene Valarezo Encalada,74,unae.edu.ec,Universidad Nacional de Educación,Educación
Jessica Monserrate Velez Loor,74,utm.edu.ec,Universidad Técnica de Manabí,Educación
Jessica N. Castillo,74,utc.edu.ec,profesor de matemáticas. Universidad Técnica de Cotopaxi,"Matemáticas, Informática, Telecomunicaciones, Automatización"
Maria Antonieta Touríz Bonifaz,74,ug.edu.ec,Docente Investigador,"Salud Publica, Epidemiologia, Farmacologia, Farmacovigilancia"
Samuel Olegario Iñiguez Jiménez,74,puce.edu.ec,Pontificia Universidad Católica del Ecuador,Fisioterapia
José Ángel Bermúdez García,74,puce.edu.ec,Profesor de Posgrado de la Pontificia Universidad Católica del Ecuador,Educación
Alex Adrian,74,uta.edu.ec,Universidad Técnica de Ambato,Nutrición y Dietética
Christian A. Romero,74,ube.edu.ec,Assistant Professor,"Biochemistry, Biology, Molecular biology, Drug discovery"
Edwin Pallo,74,uta.edu.ec,Universidad Técnica de Ambato,Agricultura
Mayra Viscaíno-Cuzco,74,uta.edu.ec,Universidad Técnica de Ambato,"Asset maintenance, Building maintenance, Applied mathematics, Machine learning"
JOSE LIZARDO REINA CASTRO,74,espam.edu.ec,ESCUELA SUPERIOR POLITÉCNICA  AGROPECUARIA DE MANABÍ - MANUEL FÉLIX …,"Mecanización Agrícola, Agricultura de Conservación y Sustentable"
ANA KARINA ALBUJA LANDI,74,espoch.edu.ec,Docente Investigador. Grupo de Investigación LEISHPAREC Escuela Superior Politécnica …,"Salud, Microbiología de los alimentos"
Alex Guzmán,74,ute.edu.ec,"Profesor de Ingeniería Automotriz, Universidad UTE","Ingeniería Automotriz, Diseño automotriz, vehículos eléctricos, materiales"
Julio Ricardo Proaño Orellana (PhD) (ORCID: 0000-0001-6378-6854),73,ups.edu.ec,Lecturer at Universidad Politécnica Salesiana Ecuador - Computing Engineering,"Cloud Computing, FPGA's, energy efficiency, Distributed Systems Optimization"
Omar Gustavo Bravo Quezada (ORCID: 0000-0002-5543-5672),73,ups.edu.ec,"Universidad Politécnica Salesiana, Cuenca Ecuador","Edutainment, Immersive Technology, TIC for culture, Semantic Web, Telecommunications"
ANGELA CECILIA FLORES ORTIZ (ORCID: 0000-0002-4057-4901),73,ups.edu.ec,Vicerrectora Académica - Coordinadora Académica sede Guayaquil - Profesora de Circuitos …,"Ubiquitous learning, TIC aplicada a la educación"
Alex Enrique Parra Rosero,73,ups.edu.ec,"Profesor de Economía, Universidad Politecnica Salesiana del Ecuador","Economia, Emprendimiento, Empresas B, Desarrollo Sostenible, Responsabilidad Social"
Manuel Kingman,73,puce.edu.ec,Pontificia Universidad Católica del Ecuador,"Arte Contemporáneo, Arte y Antropología, Cultura Popular, Arte y Educación"
Vanessa Vergara-Lozano,73,uagraria.edu.ec,Universidad Agraria del Ecuador,"Estadística, Ontología, Modelos Predictivos, Computación"
Ivonne CARPIO-TORO,73,ucacue.edu.ec,Profesora de Psicología Clínica,"Psicologia Clinica, Salud Mental"
Brizeida Gámez,73,utn.edu.ec,Universidad Técnica del Norte,"Biomechanics, Biomecánica"
Ana Elizabeth Moscoso Parra,73,utmachala.edu.ec,Docente Márketing,"Marketing, Publicidad, Diseño"
Allan Roberto Avendano Sudario (ORCID:0000-0003-1140-525X),73,fiec.espol.edu.ec,ESPOL (04qenc566),
Santiago Alejandro Acurio Maldonado,73,pucesa.edu.ec,Pontificia Universidad Católica del Ecuador Sede Ambato,"IoT, Prototype, Computer Science, Education, Software Development"
Liliya Harutyunyan,73,puce.edu.ec,profesora de la Pontificia Universidad Católica del Ecuador,"Lingüítica, Educación, Resolución de Conflictos, Cooperación Internacional al Desarrollo, Empoderamiento"
Pablo Dávila,73,uisek.edu.ec,Profesor Titular UISEK Ecuador,"Pedagogía, Antropometría, Ergonomía, Estadística, Geografía y Siciología"
David Atupaña,73,est.ups.edu.ec,Estudiante Universidad Politecnica Salesiana,"Ingenieria, Teoria, Historia, Desarrollo"
NELSON E. GARCIA OSORIO,73,espe.edu.ec,Universidad de las Fuerzas Armadas-ESPE,"Economía, economía aplicada, finanzas, comercio internacional y relaciones …"
Ligia Beltrán-Urvina (https://orcid.org/0000-0003-3803-7899),73,utn.edu.ec,Universidad Tecnica del Norte,"Administración, Emprendimiento, Gestión empresarial"
Luis Ángel Ávila Pozo,73,uazuay.edu.ec,Universidad del Azuay - IERSE,Remote Sensing & GIS
Emma Zulay Delgado Saeteros,73,formacion.edu.ec,Rectora y Docente del Instituto Superior Universitario de Formacion,"Tics, Pedagogía, Administración y Gestión"
Carmen Amelia Coral-Guerrero,73,uisek.edu.ec,Universidad Internacional SEK,"Happiness, International Business, Indigenous, Entrepreneurship."
Washington Castro,73,uta.edu.ec,"Profesor de Educación Física, Universidad Técnica de Ambato",deporte y salud
yordenis ramos,73,tsachila.edu.ec,Instituto Superior Tecnológico Tsa´chila,Educación y Sociedad
Andrés Guarnizo,73,ucuenca.edu.ec,"Medicina Legal y Forense, Universidad de Cuenca",Medicina
SALOME GALARZA BURGOS,73,unemi.edu.ec,,
Diego Francisco Vega Carrillo,73,uniandes.edu.ec,Docente de la Facultad de Administración de Empresas y Negocios Universidad Regional …,"Ciencias Sociales Educación, Negocios"
JIRMA ELIZABETH VEINTIMILLA RUIZ,73,utc.edu.ec,UNIVERSIDAD TÉCNICA DE COTOPAXI,EMPRENDIMIENTO
Marco Vinicio Noroña Merchán,73,uide.edu.ec,Universidad Internacional del Ecuador,"Innovación Tecnológica, Ingeniería, Diseño Automotriz, Diagnóstico Automotriz, Ciencias Sociales"
MARIO JACINTO ABAMBARI ARÉVALO,73,ug.edu.ec,Particular,"Pedagogía, Economía, Administración, Finanzas"
Juan Eduardo Salazar Mera,73,uti.edu.ec,Docente Universidad Tecnologica Indoamerica,"Finanzas, Administracion de empresas"
Viviana Huachizaca,73,unl.edu.ec,"Docente-Investigador, Universidad Nacional de Loja","Economics of Education, Development Economy, Welfare Economics"
Adela Connie Alcívar Chávez,73,uleam.edu.ec,"Docente de Ciencias  Educación, ULEAM Ecuador","Educación Integral, Psicopedagogía, Psicomotricidad, Evaluación psicopedagógica, desarrollo integral"
Mónica Carolina Ojeda Chimborazo,73,psg.ucacue.edu.ec,Docente de educación general.,Educación
Gabriel Fernando Mantilla Saltos,73,espol.edu.ec,Escuela Superior Politecnica del Litoral,"Deep learning, machine learning, data analysis"
Laura Falceri (ORCID: 0000-0001-9357-6946),73,ups.edu.ec,Universidad Politécnica Salesiana,"Archaeology, Anthropology, Cultural heritage, Museum, Intangible heritage"
OSCAR OMAR CHAVEZ MOLINA,73,unemi.edu.ec,"PROFESOR DE ENFERMERIA CLINICA, CUIDADOS INTENSIVOS, EMERGENCIA …","CUIDADOS INTENSIVOS, EMERGENCIA, ENFERMERIA"
Wilter Enrique Ruiz Parraga,73,utm.edu.ec,,
Sabrina Andrango,73,uea.edu.ec,biologa,química
Carlos Espinoza,73,unach.edu.ec,"Profesor de Bioquímica, Universidad Nacional de Chimborazo","Productos naturales, Microbiología, Bioquímica"
Javier Martin Reyes Baque,73,unesum.edu.ec,Profesor de Laboratorio clinico.Universidad Estatal del Sur de Manabi,"Uroanalisis, Bioquimica, Hematologia, Inmunologia, Bacteriologia"
Camilo Coronel Escobar,73,ug.edu.ec,Docente Universidad de Guayaquil,Learning - Education - Technology
Ramón Pérez Leira,73,uleam.edu.ec,Profesor Universidad Laica Eloy Alfaro de Manabí,"Riego, Hidráulica, Agricultura"
Miguel Espinosa Galarza,73,utmachala.edu.ec,Profesor Universidad Tecnica de Machala,"Adminsitracion, habilidades blandas, comunicacion politica, educacion"
Fernando Lara,73,epn.edu.ec,Escuela Politécnica Nacional,"DSP, Seismic signals, Sound signals, Radar signals"
David Sacoto Urgilez,73,ucuenca.edu.ec,Universidad de Cuenca,
DORY PAULINA PULUA FRANCO,73,unemi.edu.ec,,
Elena Beatriz Piedra Bonilla,73,ecotec.edu.ec,Universidad Ecotec,"Agricultural economics, Climate change and sustainability"
Angelica Abad Cisneros,72,ucuenca.edu.ec,Universidad de Cuenca,"Populismo, Desafección Política, Comportamiento Electoral, Región Andina"
Juan Pablo Padilla Sánchez,72,ups.edu.ec,Professor of Human Resources - Universidad Politécnica Salesiana Ecuador - Management …,"education, leadership, social dynamics, business, politics"
CLAUDIO RENÉ QUEZADA CONDOLO,72,ups.edu.ec,"Professor of Mathematics Financial, Mathematical logic, calculus - Universidad Politécnica …","differential calculus, student internships, integral calculus, mathematical logic, reagent preparation"
Dora Priscilla Herrera Torres,72,ups.edu.ec,Professor of Computer Science - UNIVERSIDAD POLITÉCNICA SALESIANA ECUADOR …,"Computer Science, System Programming, TIC, mathematics"
Armando Quintana Proenza,72,espoch.edu.ec,Escuela Superior Politécnica de Chimborazo. Ecuador,"Medicina, Cirugía, Educación para la salud"
Edison Antonio Osorio Muñoz (ORCID:0000-0001-6857-4738),72,ups.edu.ec,"Docente-Investigador, Universidad Politécnica Salesiana Ecuador","Essential oils, Bioactivity, Chromatography, Spectrophotometry, Pharmacy"
Carlos Manuel Massuh Villavicencio (ORCID:0000-0002-4116-6897),72,ups.edu.ec,Universidad Politécnica Salesiana,"education, research, methodology, tic, Education management"
Angel Cuenca-Ortega,72,ug.edu.ec,"Universidad de Guayaquil, Universitat Politècnica de València","Formal Methods, Partial Evaluation, Maude, Narrowing, Term Rewriting"
Cristian Moisés Villafuerte Garzón,72,cordillera.edu.ec,"Profesor Investigador, Coordinador General Académico, Tecnológico Superior Cordillera …","comportamiento del consumidor, tecno adicción, tecnologías de la información y comunicación, adicción a nuevas tecnologías"
Lenin Jonatan Pin García,72,unesum.edu.ec,"Profesor de informática, Universidad Estatal del Sur de Manabí","Minería de Procesos, Minería de Datos, Aprendizaje Automático"
Germania Vayas-Ortega,72,uti.edu.ec,Universidad Indoamérica,"Procesamiento de datos, Machine Learning, Valoración de Empresas, Responsabilidad Social Corporativa, Seguridad Industrial"
JOHANNA CATALI ARMIJOS CORDERO,72,ucuenca.edu.ec,Profesora de Finanzas y Presupuesto Universidad de Cuenca,"Responsabilidad Social Empresarial, Finanzas, Stakeholders"
Virginia Barzola Veliz,72,ug.edu.ec,"profesora de psicomotricidad, universidad de Guayaquil",educación
Eva Alcívar Medranda,72,utm.edu.ec,Docente de la Universidad Técnica de Manabí - Carrera de Trabajo Social,Educación - Bienestar - Sociedad.
PAOLA MOREIRA AGUAYO,72,unesum.edu.ec,"DOCENTE TITULAR AGREGADO I, UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ","INGLÉS, EDUCACIÓN, TIC, CURRÍCULUM"
Leticia Cedeño Macias,72,utm.edu.ec,Profesora del Departamento de Pedagogía de los Idiomas Nacionales y Extranjeros …,Enseñanza de ingles como idioma extranjero
Ruben Armas-Gonzalez,72,uees.edu.ec,Universidad Espíritu Santo,"Candida, Bioinformatics, Ecology, Environmental"
GLORIA SUSANA VIZCAINO CARDENAS,72,utc.edu.ec,Universidad Técnica de Cotopaxi,"Educación Superior, Liderazgo, Estudios de Género, Administración"
Israel Celi,72,utpl.edu.ec,Director de la Maestría en Derecho Constitucional de la UTPL.,"Derecho Constitucional, Ciencia Política"
Jaime Alberto Tapia Salinas,72,espoch.edu.ec,Professor Escuela Superior Politecnica de Chimborazo,"ingles, docencia"
Santiago Jácome,72,espe.edu.ec,(Ph.D. en Informática y Telecomunicación) - ESPE,"Ingeniería de Software, Ingeniería Dirigida por Modelos, Networking"
Carolina Elizabeth Cañar Tapia,72,est.ups.edu.ec,Licenciada en Ciencias de la Educación,"Educación, Formación Educativa, Necesidades Educativas Especiales, Adaptación Curricular, Educación Inclusiva"
Carlos Andrés Martínez Verdesoto,72,ups.edu.ec,Docente Universidad Politécnica Salesiana,"contenido, video, creatividad, cine, arte"
Tania Morales Molina,72,uti.edu.ec,Facultad de Ciencias Administrativas y Económicas - Universidad Tecnológica Indoamérica,"Economía, Administración, Emprendimientos"
ANA LUCIA JIMENEZ PERALTA,72,uta.edu.ec,DOCENTE UNIVERSIDAD TÉCNICA DE AMBATO,"relatividad general, teoría del campo unificado, salud"
PABLO ANDRES CISNEROS PEREZ,72,yachaytech.edu.ec,Universidad de Investigación de Tecnología Experimental Yachay,"Síntesis orgánica, Productos Naturales, Nanopartículas"
Cynthia Carrasco,72,uta.edu.ec,Estudiante de la Universidad Técnica de Ambato,Finanzas
Darwin Diaz,72,uce.edu.ec,Universidad Central del Ecuador,
Gustavo Del Pozo,72,espe.edu.ec,"Universidad de las Fuerzas Armadas, ESPE","Public Health, Cardiovascular medicine, Mechanical Ventilation, Epidemiology"
María Teresa Espinosa Jaramillo,72,espe.edu.ec,Docente Universidad de las Fuerzas Armadas  ESPE,"Auditoría Financiera, Auditoría Tributaria, Auditoría Forense, Contabilidad Superior."
Yenniz Aracely Sánchez Briones,72,utm.edu.ec,Universidad Técnica de Manabí,Administración
Fernando Espinoza Lozano,72,espol.edu.ec,ESCUELA SUPERIOR POLITÉCNICA DEL LITORAL,"BIOCONTROL, PHYTOPATOLOGY"
Carlos German Pillajo Angos (ORCID:0000-0003-0779-1215),71,ups.edu.ec,Universidad Politecnica Salesiana Ecuador,"Internet of Things, IIoT, WNCS, Network Control System, technical advice and training"
Shayarina Monard-Arciniegas,71,puce.edu.ec,Pontificia Universidad Católica del Ecuador. Professor of History architecture,"Historie, culture, architecture, modern architecture"
Galo Gallardo-Carrillo,71,uce.edu.ec,Universidad Central del Ecuador,"Marketing, Innovación, Riesgos, Economía Agroalimentaria, Sostenibilidad"
Stephany Celly-Alvarado,71,utpl.edu.ec,"Licenciada en Comunicación Social, Universidad Técnica Particular de Loja","comunicación, competencias mediáticas, tecnología"
Rene Guaman-Quinche,71,unl.edu.ec,Profesor: Universidad Nacional de Loja,"tecnologías web, ingeniería del software, lenguajes de programación y sistemas …"
Ivetheyamel Morales,71,ug.edu.ec,Profesor Universidad de Guayaquil,"Arquitectura, Diseño Urbano, eficiencia energética, patrimonio, intervención sostenible"
Monica Baquerizo,71,ug.edu.ec,"Profesor de Informática, Universidad de Guayaquil","inteligencia artificial, big data, data bases, no structural"
Jessica Moposita,71,espe.edu.ec,"Departamento de Energía y Mecánica DECEM, Universidad de las Fuerzas Armadas ESPE …","UAV, Mecatrónica"
JAVIER ANTONIO BENITEZ ASTUDILLO,71,unemi.edu.ec,"Universidad Estatal de Milagro, UNEMI","Operation Research, Business Intelligent, Linear programming, Human Resource Management, Organizational behaviour"
Ricauter Moises Lopez Bermudez,71,unemi.edu.ec,"Universidad Estatal de Milagro (UNEMI), Profesor de Ingeniería de Software","Herramientas automáticas de desarrollo de …, Administracion"
LADY VIVIANA QUINTUÑA BARRERA,71,unemi.edu.ec,Universidad Estatal de Milagro,"Ingles, Business, Administracion, historia, cosmologia"
ERIC GUSTAVO DUPLAA SIERRA,71,unemi.edu.ec,Universidad Estatal de Milagro,"Musica, artes, diseño grafico, ingles, historia"
Ph.D César Oswaldo Vásconez Rubio,71,uce.edu.ec,Universidad Central del Ecuador,"Actividad Física, Deporte, Entrenamiento Deportivo, Educación Superior, Investigación Educativa."
Luis Carvajal Pérez,71,upec.edu.ec,Universidad Politécnica Estatal del Carchi,"Economía Agropecuaria, Costos y Presupuestos, Finanzas, Talento Humano, Emprendimiento"
Jean Carlos Pérez,71,utm.edu.ec,Universidad Técnica de Manabí,"Química Analítica, Ambiente, Enseñanza de la Química"
Carlos Alberto Romero Romero,71,ups.edu.ec,"Profesor de la Carrera de Ingenieria Civil , Universidad Politécnica Salesiana",Estructuras
